"Country","start_year","end_year","Delta_Population","Delta_GDP","Delta_Per_Capita_GDP","pct_change_Population","pct_change_GDP","pct_change_Per_Capita_GDP"
"Afghanistan",1870,1875,177.09302325581,292.19526875,19.50006875,0.042094847458001,0.503892935589472,0.0586018629015753
"Afghanistan",1875,1880,177.093023255819,292.19526875,19.50006875,0.0403944492775162,0.335059048197446,0.0553577930998068
"Afghanistan",1880,1885,177.09302325581,292.19526875,19.50006875,0.0388260907250758,0.250969459852605,0.052454052513517
"Afghanistan",1885,1890,177.09302325582,292.19526875,19.50006875,0.0373749668705166,0.200619973474153,0.0498397553681741
"Afghanistan",1890,1895,177.093023255809,292.19526875,19.50006875,0.0360284063758205,0.167096981481686,0.0474736788289136
"Afghanistan",1895,1900,177.09302325581,292.19526875,19.50006875,0.0347755005114709,0.143173175951109,0.045322073278242
"Afghanistan",1900,1905,177.09302325582,292.19526875,19.50006875,0.0336068069782131,0.125241895946334,0.0433570422330287
"Afghanistan",1905,1910,177.093023255809,292.19526875,19.50006875,0.032514111508671,0.111302197685241,0.0415553261999695
"Afghanistan",1910,1915,237.086516656191,292.19526875,19.50006875,0.0421581261189731,0.100154753510859,0.0398973776569131
"Afghanistan",1915,1920,327.07675675676,292.19526875,19.50006875,0.0558072350743607,0.0910369683821671,0.0383666489733913
"Afghanistan",1920,1925,327.07675675676,292.19526875,19.50006875,0.0528574092129897,0.0834407733380109,0.0369490381950572
"Afghanistan",1925,1930,327.07675675675,292.19526875,19.5000687500001,0.050203768098568,0.0770146143576777,0.035632453316483
"Afghanistan",1930,1935,327.07675675676,292.19526875,19.50006875,0.0478038354303997,0.0715074924063203,0.0344064665049597
"Afghanistan",1935,1940,327.07675675676,292.19526875,19.50006875,0.0456228864735579,0.0667354105436384,0.0332620373316225
"Afghanistan",1940,1945,327.07675675675,292.195268750001,19.50006875,0.04363225696735,0.062560415529497,0.0321912894598557
"Afghanistan",1945,1950,327.07675675676,292.19526875,19.5000687500001,0.0418080762414728,0.0588770432392982,0.0311873291206532
"Afghanistan",1950,1955,740.841,925,50.3123999999999,0.090896631906682,0.176022835394862,0.0780332162761675
"Afghanistan",1955,1960,938.241,1088,44.3420000000001,0.105524569268364,0.176051779935275,0.0637951419471403
"Afghanistan",1960,1965,1168.435,646,-19.8177000000001,0.118870842213959,0.0888827738029719,-0.0268020231249052
"Afghanistan",1965,1970,1432.738,905,-10.1353,0.130273957219956,0.114354308819813,-0.0140847693188746
"Afghanistan",1970,1975,1701.396,1365,11.1755000000001,0.136871337824339,0.154779453452772,0.015752174619033
"Afghanistan",1975,1980,980.129999999999,243,-30.6584,0.0693552704677229,0.0238609583660644,-0.0425437021974151
"Afghanistan",1980,1985,-1315.221,872,128.9757,-0.0870307062218616,0.0836290399923276,0.1869281583803
"Afghanistan",1985,1990,872.411,-2438,-214.9014,0.0632322644577112,-0.215771307195327,-0.262410763826478
"Afghanistan",1990,1995,6212.141,1839,-91.6332,0.423477908581975,0.207538652522289,-0.151698289377186
"Afghanistan",1995,2000,3016.718,2808,52.8151,0.144468591306746,0.262429906542056,0.103070787434736
"Afghanistan",2000,2005,6030.789,9172,192.5629,0.252353294587316,0.679005034053894,0.340680065438744
"Algeria",1870,1875,200.11627906977,429.6511627907,52.1301627906979,0.0529968959400874,0.159130060292852,0.0729049952711866
"Algeria",1875,1880,200.11627906977,429.6511627907,52.130162790697,0.0503295842033543,0.137284042355565,0.0679510260391303
"Algeria",1880,1885,200.11627906976,429.65116279069,52.130162790698,0.0479178964015618,0.120712185560272,0.0636274739031355
"Algeria",1885,1890,200.11627906977,429.6511627907,52.130162790698,0.0457267659671708,0.107710246319779,0.059821201937973
"Algeria",1890,1895,200.11627906977,429.6511627907,52.130162790697,0.0437272597922643,0.0972368421052638,0.0564446171001143
"Algeria",1895,1900,200.116279069761,429.651162790699,52.130162790702,0.0418952934131139,0.0886197385777674,0.0534288463270865
"Algeria",1900,1905,200.11627906977,429.65116279069,52.1301627906901,0.0402106561743573,0.0814055959462422,0.0507189892448462
"Algeria",1905,1910,200.11627906977,429.6511627907,52.1301627906998,0.0386562624942167,0.0752775797086691,0.048270745807409
"Algeria",1910,1915,303.622091766179,568.12799497172,42.16338416091,0.0564675527920561,0.0925710639779612,0.0372440518967776
"Algeria",1915,1920,458.880810810821,775.84324324324,27.21321621621,0.0807810199803771,0.115705326793323,0.0231750340532125
"Algeria",1920,1925,458.88081081081,775.843243243239,27.2132162162202,0.0747431889411251,0.103705991192024,0.0226501168245041
"Algeria",1925,1930,458.880810810811,775.843243243251,27.21321621622,0.0695451617746606,0.0939616093594103,0.0221484518036689
"Algeria",1930,1935,458.88081081081,775.84324324324,27.21321621621,0.065023118480819,0.0858911396483373,0.0216685274673927
"Algeria",1935,1940,458.88081081081,775.843243243229,27.21321621622,0.0610532460305368,0.0790973758899549,0.0212089605237372
"Algeria",1940,1945,458.88081081081,775.8432432433,27.21321621621,0.0575402283145927,0.073299572084242,0.0207684825962085
"Algeria",1945,1950,458.880810810811,775.8432432432,27.2132162162202,0.0544094936287153,0.0682936749354069,0.0203459285335633
"Algeria",1950,1955,949.133,2087.44,80.4842999999998,0.106731485244444,0.172000553713506,0.0589741075879969
"Algeria",1955,1960,1067.443,8556.05,642.8792,0.108459577370151,0.601535608225157,0.444830174757005
"Algeria",1960,1965,1053.797,-412.630000000001,-218.4276,0.0965962600329591,-0.0181139109199275,-0.104605754380615
"Algeria",1965,1970,1968.755,8968.68,379.5442,0.164569090045374,0.40097643413764,0.203000039311635
"Algeria",1970,1975,2208.406,9369.18,272.7337,0.158514959180571,0.298993036075694,0.121257029715683
"Algeria",1975,1980,2665.809,18568.46,629.8718,0.165165265077646,0.456171925976589,0.249755526807117
"Algeria",1980,1985,3202.389,16238.29,279.2075,0.17028494164727,0.273955678616149,0.0885859723438977
"Algeria",1985,1990,3080.582,-1577.71000000001,-484.1673,0.139972692306818,-0.020893580611537,-0.14111416075982
"Algeria",1990,1995,3000.117,729,-288.7927,0.119578826317412,0.00986014553520708,-0.0979999629436757
"Algeria",1995,2000,2340.078,12446,204.6027,0.0833089674592846,0.166695685948864,0.0769740797533491
"Algeria",2000,2005,2131.508,22751,511.3271,0.0700480495281724,0.261178523459114,0.178618609710343
"Angola",1870,1875,178.2489375,234.3751125,35.78668125,0.140837665154381,0.403400754942098,0.0746745829969466
"Angola",1875,1880,178.2489375,234.3751125,35.78668125,0.123451100411663,0.287445160280494,0.0694857626470531
"Angola",1880,1885,178.2489375,234.3751125,35.78668125,0.109885601933567,0.223267886779635,0.0649711899624273
"Angola",1885,1890,178.2489375,234.3751125,35.78668125,0.0990062414920343,0.182517573781331,0.0610074625255539
"Angola",1890,1895,178.2489375,234.3751125,35.7866812499999,0.09008706024965,0.154346605774065,0.0574995602578849
"Angola",1895,1900,178.2489375,234.3751125,35.78668125,0.0826420783575015,0.133709065372584,0.0543731292369172
"Angola",1900,1905,178.2489375,234.3751125,35.78668125,0.0763337025315693,0.117939486819435,0.0515691530153739
"Angola",1905,1910,178.2489375,234.3751125,35.78668125,0.0709201080966155,0.105497201064948,0.0490401918575677
"Angola",1910,1915,178.2489375,234.3751125,35.78668125,0.0662235283103091,0.0954296410369205,0.04674767681754
"Angola",1915,1920,178.2489375,234.3751125,35.78668125,0.0621103610565192,0.0871161756647265,0.0446599288948684
"Angola",1920,1925,178.2489375,234.3751125,35.78668125,0.0584782554938414,0.0801351112372681,0.042750686285166
"Angola",1925,1930,178.2489375,234.3751125,35.78668125,0.0552474792848322,0.0741898956932113,0.0409979939092313
"Angola",1930,1935,178.2489375,234.3751125,35.7866812499999,0.0523549976374024,0.0690659035154432,0.039383355346606
"Angola",1935,1940,178.2489375,234.3751125,35.78668125,0.0497503197637132,0.0646039718302976,0.0378910775740418
"Angola",1940,1945,178.2489375,234.3751125,35.78668125,0.0473925264199123,0.0606835720509557,0.0365077592367477
"Angola",1945,1950,178.2489375,234.3751125,35.7866812499999,0.0452481044350245,0.0572117582000605,0.0352218870639529
"Angola",1950,1955,305.606,749,96.6618000000001,0.0742191417997351,0.172939274994228,0.0918993898207112
"Angola",1955,1960,374.121,931,104.5012,0.0845810848786055,0.183267716535433,0.0909905738330832
"Angola",1960,1965,337.474,2183,342.7872,0.0703460081244956,0.363167526201963,0.273576459414917
"Angola",1965,1970,470.808,1715,171.9162,0.0916893256976197,0.209299487429827,0.107732294120677
"Angola",1970,1975,279.829,-3595,-694.8741,0.0499193132042701,-0.362801493591684,-0.393097618335901
"Angola",1975,1980,857.625,169,-111.3842,0.145719404871841,0.0267659170098194,-0.103824305846781
"Angola",1980,1985,841.629,-572,-182.0989,0.124813734969776,-0.0882307573654172,-0.189404201095847
"Angola",1985,1990,711.897,1291,88.7346,0.0938595007402393,0.218406361021824,0.113859935288103
"Angola",1990,1995,1122.518,-1341,-245.8211,0.135298458188806,-0.18619827825604,-0.283182565192639
"Angola",1995,2000,958.143,2130,147.8039,0.101723153872908,0.363419211738611,0.237533401248737
"Angola",2000,2005,1329.687,5078,346.2964,0.12813460422672,0.635464898010262,0.449707200298786
"Argentina",1870,1875,395,1227.79775,210.33775,0.219933184855234,0.521604815018575,0.160486477454285
"Argentina",1875,1880,395,1227.79775,210.33775,0.180282975810132,0.342799135406395,0.138292414924419
"Argentina",1880,1885,395,1227.79775,210.33775,0.152745552977572,0.255286979539682,0.121491115210147
"Argentina",1885,1890,395,1227.79775,210.33775,0.132505870513251,0.203369415679988,0.108329984573602
"Argentina",1890,1895,658.5,2833.3795,301.7905,0.195053317535545,0.389999980729727,0.140238720023495
"Argentina",1895,1900,658.5,2833.3795,301.7905,0.163217251208328,0.2805755295946,0.122990666393617
"Argentina",1900,1905,971,6771.051,723.059,0.206903899424675,0.52359552994606,0.262400210774007
"Argentina",1905,1910,1172,6422.327,343.093,0.206920903954802,0.325958694579058,0.0986291391090194
"Argentina",1910,1915,1236,58.1209999999992,-577.987,0.180807489760094,0.00222470913442884,-0.151237796693103
"Argentina",1915,1920,789,4591.527,229.346,0.0977452923686819,0.175360670264528,0.0707045576949696
"Argentina",1920,1925,1497,9822.383,446.341,0.168942557273445,0.319169045150196,0.128514866822398
"Argentina",1925,1930,1538,7933.463,160.172,0.148484263371307,0.195418757982685,0.0408663548850465
"Argentina",1930,1935,1148,2993.211,-129.573,0.0965030262273033,0.061676641141865,-0.0317613422159427
"Argentina",1935,1940,1125,7439.438,211.425,0.0862465501379945,0.144388049061021,0.0535251944995569
"Argentina",1940,1945,1221,8078.764,194.779,0.0861740419225069,0.137013300260589,0.046805740521176
"Argentina",1945,1950,1760.34,18481.88,630.511,0.114382066276803,0.275675649875034,0.144738331206486
"Argentina",1950,1955,1777.48,13601,250.276,0.103641093995804,0.159031383003601,0.0501884604000542
"Argentina",1955,1960,1688.19,15489,322.466,0.0891909369383267,0.156257250945776,0.0615745655909873
"Argentina",1960,1965,1667.09,27346,811.281,0.0808638528987908,0.23859214406617,0.14592786429488
"Argentina",1965,1970,1679.21,33012,931.219,0.0753580067405344,0.232544378698225,0.146171084803713
"Argentina",1970,1975,2119.57,36878,820.531,0.0884543268157369,0.210765150995588,0.112371243580154
"Argentina",1975,1980,2287.92,20952,83.4829999999993,0.087720670442468,0.0989001652112344,0.0102779970248064
"Argentina",1980,1985,2302.2,-23161,-1371.049,0.0811496732440835,-0.0994879769074149,-0.167079251960156
"Argentina",1985,1990,2364,2877,-402.009,0.0770735524256651,0.013723460582615,-0.0588168337032225
"Argentina",1990,1995,2238,70135,1580.147,0.0677442789683981,0.330019104264109,0.245634409992846
"Argentina",1995,2000,2062,37711,567.497,0.0584566536259001,0.133418007238558,0.0708214293424904
"Argentina",2000,2005,1845,33017,438.626999999999,0.0494161131347761,0.103060893233946,0.0511186558089523
"Australia",1870,1875,99,1945,864.968,0.0557746478873239,0.334767641996558,0.264254458657006
"Australia",1875,1880,323,1660,147.182,0.172358591248666,0.214055448098001,0.0355666113367455
