""	"year"	"country"	"population"	"gdp"	"per_capita_gdp"
"1"	"1870"	"canada"	"3781"	"3781"	"3781"
"2"	"1870"	"usa"	"40240.6295"	"40240.6295"	"40240.6295"
"3"	"1871"	"canada"	"3801"	"3801"	"3801"
"4"	"1871"	"usa"	"41098"	"41098"	"41098"
"5"	"1872"	"canada"	"3870"	"3870"	"3870"
"6"	"1872"	"usa"	"42136"	"42136"	"42136"
"7"	"1873"	"canada"	"3943"	"3943"	"3943"
"8"	"1873"	"usa"	"43174"	"43174"	"43174"
"9"	"1874"	"canada"	"4012"	"4012"	"4012"
"10"	"1874"	"usa"	"44212"	"44212"	"44212"
"11"	"1875"	"canada"	"4071"	"4071"	"4071"
"12"	"1875"	"usa"	"45245"	"45245"	"45245"
"13"	"1876"	"canada"	"4128"	"4128"	"4128"
"14"	"1876"	"usa"	"46287"	"46287"	"46287"
"15"	"1877"	"canada"	"4184"	"4184"	"4184"
"16"	"1877"	"usa"	"47325"	"47325"	"47325"
"17"	"1878"	"canada"	"4244"	"4244"	"4244"
"18"	"1878"	"usa"	"48362"	"48362"	"48362"
"19"	"1879"	"canada"	"4312"	"4312"	"4312"
"20"	"1879"	"usa"	"49400"	"49400"	"49400"
"21"	"1880"	"canada"	"4384"	"4384"	"4384"
"22"	"1880"	"usa"	"50458"	"50458"	"50458"
"23"	"1881"	"canada"	"4451"	"4451"	"4451"
"24"	"1881"	"usa"	"51743"	"51743"	"51743"
"25"	"1882"	"canada"	"4503"	"4503"	"4503"
"26"	"1882"	"usa"	"53027"	"53027"	"53027"
"27"	"1883"	"canada"	"4560"	"4560"	"4560"
"28"	"1883"	"usa"	"54311"	"54311"	"54311"
"29"	"1884"	"canada"	"4617"	"4617"	"4617"
"30"	"1884"	"usa"	"55595"	"55595"	"55595"
"31"	"1885"	"canada"	"4666"	"4666"	"4666"
"32"	"1885"	"usa"	"56879"	"56879"	"56879"
"33"	"1886"	"canada"	"4711"	"4711"	"4711"
"34"	"1886"	"usa"	"58164"	"58164"	"58164"
"35"	"1887"	"canada"	"4760"	"4760"	"4760"
"36"	"1887"	"usa"	"59448"	"59448"	"59448"
"37"	"1888"	"canada"	"4813"	"4813"	"4813"
"38"	"1888"	"usa"	"60732"	"60732"	"60732"
"39"	"1889"	"canada"	"4865"	"4865"	"4865"
"40"	"1889"	"usa"	"62016"	"62016"	"62016"
"41"	"1890"	"canada"	"4918"	"4918"	"4918"
"42"	"1890"	"usa"	"63302"	"63302"	"63302"
"43"	"1891"	"canada"	"4972"	"4972"	"4972"
"44"	"1891"	"usa"	"64612"	"64612"	"64612"
"45"	"1892"	"canada"	"5022"	"5022"	"5022"
"46"	"1892"	"usa"	"65922"	"65922"	"65922"
"47"	"1893"	"canada"	"5072"	"5072"	"5072"
"48"	"1893"	"usa"	"67231"	"67231"	"67231"
"49"	"1894"	"canada"	"5121"	"5121"	"5121"
"50"	"1894"	"usa"	"68541"	"68541"	"68541"
"51"	"1895"	"canada"	"5169"	"5169"	"5169"
"52"	"1895"	"usa"	"69851"	"69851"	"69851"
"53"	"1896"	"canada"	"5218"	"5218"	"5218"
"54"	"1896"	"usa"	"71161"	"71161"	"71161"
"55"	"1897"	"canada"	"5269"	"5269"	"5269"
"56"	"1897"	"usa"	"72471"	"72471"	"72471"
"57"	"1898"	"canada"	"5325"	"5325"	"5325"
"58"	"1898"	"usa"	"73781"	"73781"	"73781"
