"year","country","population","gdp","per_capita_gdp"
1870,"Afghanistan",4207,579.8757,332.7551
1870,"Algeria",3776,2700,715.0424
1870,"Angola",1265.634,580.9982,479.2351
1870,"Argentina",1796,2353.885,1310.626
1870,"Australia",1775,5810,3273.239
1870,"Austria",4520,8418.909,1862.59048672566
1870,"Bahrain",33.13668,26.66827,1086.097
1870,"Bangladesh",13170.98,2717.636,278.4556
1870,"Belgium",5096,13716,2691.52276295133
1870,"Benin",514.1266,243.1503,493.7268
1870,"Bolivia",1495,287.7667,444.4914
1870,"Botswana",132.2963,20.12255,158.7879
1870,"Brazil",9797,6985,712.9734
1870,"Burkina.Faso",1345.103,278.4484,216.1081
1870,"Burma",4245,2139,503.8869
1870,"Burundi",726.1695,114.1397,164.0895
1870,"Cambodia",2340,237.7987,248.7455
1870,"Cameroon",1502.301,439.9186,305.7013
1870,"Cape.Verde",44.99996,8.830979,204.8702
1870,"Central.Africa.Republic",387.2303,130.3986,351.5489
1870,"Chad",801.5512,166.3444,216.6502
1870,"Chile",1944.569,2508.983,1290.251
1870,"China",358000,189740,530
1870,"Colombia",2392,1352.65,498.562
1870,"Comoro.Islands",45.50835,11.12859,255.2884
1870,"Congo",253.9827,132.8191,545.9317
1870,"Costa.Rica",137,92.25445,454.6285
1870,"Cote.d.Ivoire",879.1681,399.389,474.2488
1870,"Cuba",1331,641.6075,473.8716
1870,"Denmark",1888,3782,2003.1779661017
1870,"Djibouti",18.45329,12.07726,683.2451
1870,"Dominican.Rep.",242,130.9558,237.787
1870,"Ecuador",1013,340.2899,431.4241
1870,"Egypt",7049,4573,648.7445
1870,"El.Salvador",492,156.5399,344.7842
1870,"Equatorial.Guinea",64.91788,15.29296,245.9287
1870,"Eritrea.and.Ethiopia",6632.155,1129.085,177.7273
1870,"Finland",1754,1999,1139.68072976055
1870,"France",38440,72100.011,1875.6506503642
1870,"Gabon",127.7945,173.3685,1416.251
1870,"Gambia",83.41082,22.11039,276.7298
1870,"Germany",39231,72148.928,1839.0795034539
1870,"Ghana",1579,693,438.8854
1870,"Guatemala",1080,335.52,482.8265
1870,"Guinea",794.7092,105.2047,138.2003
1870,"Guinea.Bissau",176.2057,22.23676,131.7449
1870,"Haiti",1150,176.3784,243.3059
1870,"Honduras",404,101.9027,304.1514
1870,"Hong.Kong",123,84,682.9268
1870,"India",253000,134882,533.1304
1870,"Indonesia",32742.85,18929,578.1109
